node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density,H1_flag,H1_description,H2_flag,H2_description,H3_flag,H3_description,H4_flag,H4_description,H5_flag,H5_description,H6_flag,H6_description,mahalanobis_distance,iforest_score,rule_score_raw,rule_score_100,mahalanobis_distance_stats_score_100,iforest_stats_score_100,final_score_0_100,final_score_top_percent,final_score_top_percent_display
10,0x91fbe07758def2ec4a8ce341e0b2cabccb12cf54,0,1,2023,1,1.0,0.0,1.0,0.0,9231500000000000.0,0.0,9231500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.6375292545828166,-0.021920436163827328,0.0,0.0,70.96774,43.870968,38.27957,39.68,39.68%
11,0xa09bc35214e94708e20199179827b561e9c8d24e,0,1,2023,1,1.0,0.0,1.0,0.0,1.13775e+16,0.0,11377500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.340155872464625,-0.022337660922332803,0.0,0.0,11.935484,39.35484,17.096773,75.81,75.81%
12,0xc7b19a41771cd15ec804fb202ae8bf13cf2c6f0b,0,1,2023,1,1.0,0.0,1.0,0.0,6.327e+16,0.0,63270000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4838969561517865,-0.025362462211752868,0.0,0.0,38.387096,12.903226,17.096773,75.81,75.81%
13,0xe97103c3c8aa58709c2920c831d1baf97d5dd5d1,0,1,2023,1,1.0,0.0,1.0,0.0,4615750000000000.0,0.0,4615750000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4016588878755674,-0.019632767705012266,0.0,0.0,19.35484,50.322582,23.225807,64.84,64.84%
14,0x0149ed51d951ac20eb56a49c6b1850d60c59711c,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,9e+16,-90000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2814016475582808,-0.02698368454687139,0.0,0.0,6.129032,1.2903225,2.473118,100.0,100.00%
15,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0x06012c8cf97bead5deae237070f9587f8e7a266d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,8000000000000000.0,-8000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.498743239666605,-0.01064117632303635,0.0,0.0,42.258064,71.29032,37.84946,40.65,40.65%
17,0xab5622d7da96c571c6abe08e4b85e462eb666e4f,0,1,2023,1,1.0,0.0,1.0,0.0,8000000000000000.0,0.0,8000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5801099335689148,-0.01291162442463778,0.0,0.0,60.967743,67.41936,42.7957,34.52,34.52%
18,0x09bddabe4216ab0657c8a96df92793f4a258677e,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.653013826334212e+17,-165301382633421183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2542832648247684,-0.024921680002964686,0.0,0.0,3.548387,22.258064,8.602151,93.55,93.55%
19,0x28c6c06298d514db089934071355e5743bf21d60,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0x10774202e45b3fcbc4c7613bba9d583ad853037b,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.3775119e+17,-137751190000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3100118085355994,-0.02151472645649899,0.0,0.0,8.064516,46.774193,18.27957,74.19,74.19%
21,0xd5eab5726bcd05a62becc74bdac5df9c7fa93622,0,1,2023,1,1.0,0.0,1.0,0.0,1.3775119e+17,0.0,137751190000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.478176366153328,-0.019806524485860066,0.0,0.0,36.451614,49.35484,28.602152,52.9,52.90%
