node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density
154,0xd2a97db15f6dd9f96172e5d363a786aa1c8cff04,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,21353050000000000,-21353050000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
155,0xd58fb2f5ef1bab92c44f44123026b5c06f698779,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,100000000000000,-100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
156,0xd5fbda4c79f38920159fe5f22df9655fde292d47,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,4767126865900885400,-4767126865900885400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
157,0x160c7ca8faeed71c1eb21d2c73cb6366c385d216,0,1,2023,1,1.0,0.0,1.0,0.0,4.767126865900885e+18,0,4767126865900885400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
158,0xd63f51122663aba57079af86a67f70c0ee8cc401,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,100000000000000000,-100000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,46712993967863606,-46712993967863606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
160,0x388c818ca8b9251b393131c08a736a67ccb19297,0,1,2023,1,1.0,0.0,1.0,0.0,4.671299396786361e+16,0,46712993967863606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
161,0xdb5500dacf6ae6515819fe2379a0b3d42269019c,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1354100398406806000,-1354100398406806000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
162,0xdc0548af1b43ede7c431ce23d828970c67e91c64,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,22000000000000000,-22000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
163,0xdd22de874fdf682e4b7975ded8b3cc3d585ff29e,0,1,2023,1,0.0,2.0,0.0,2.0,0.0,60000000000000000,-60000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
164,0x44a6999ec971cfca458aff25a808f272f6d492a2,0,1,2023,1,1.0,0.0,1.0,0.0,1.1582842915360276e+18,0,1158284291536027600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,0xf9b30557afcf76ea82c04015d80057fa2147dfa9,0,1,2023,1,1.0,0.0,1.0,0.0,6.614239807993476e+16,0,66142398079934758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,0,1,2023,1,1.0,0.0,1.0,0.0,668105031110452.0,0,668105031110452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
167,0xe7ef24aa6dea79767eac7608662ddd8f19b93066,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,50000000000000000,-50000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
168,0xeb5442e53ea30028adcfda5d8a76ac3457591e68,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,42000000000000000,-42000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
169,0xe45da8d6ac8b7f4bef70c94155302448500cb3b5,0,1,2023,1,1.0,0.0,1.0,0.0,4.2e+16,0,42000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
170,0xec12a04d45b67a7c359d2b2442c8804c86d58d77,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,33420137121423596,-33420137121423596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
171,0xe16bb2981ae125f1a89a4781509eda817594bad4,0,1,2023,1,1.0,0.0,1.0,0.0,3.3420137121423596e+16,0,33420137121423596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
172,0xf8b209322e6b01f3fd87d4131d0c96a599287b8e,0,1,2023,1,1.0,0.0,1.0,0.0,3.601936e+16,0,36019360000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
173,0xfceb2ec2aa6171ea90bec953fcd12a2c774c819d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,3503113792435656483,-3503113792435656483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
174,0xfe042ae8548ec8a7aee1b24111f63987512d66ab,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,108457528808811000,-108457528808811000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175,0xfe7c4bf0cd9cc080d38933c2680d08a939b4be2d,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,33087380000000000,-33087380000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5
